gb #,CHO,Hela (med cell #),measured FL-yeast with mCore1 promoter
gb01,4847.870595,245.833038,3.66
gb02,4294.184914,184.1065503,3.48
gb03,3189.825545,152.945749,4.13
gb04,5432.806904,130.4081588,13.72
gb05,11405.9741,145.3760556,34.73
gb06,3098.339533,132.1823684,19.26
gb07,5658.496546,103.3161622,2.32
gb08,5089.755626,119.1648567,25.88
gb09,1425.92998,90.04155483,2.33
gb10,4603.792729,125.0172663,7.23
gb11,4722.445858,141.7791141,3.55
gb12,9451.543835,173.586007,3.31
gb13,7615.585493,107.5774655,3.41
gb14,2594.89952,93.47474629,14.38
gb15,5368.516856,146.8268755,11.51
gb16,3042.570147,139.5809764,7.32
gb17,3905.137994,144.0732438,11.81
gb18,3732.772876,101.0566487,18.9
gb19,4261.844271,115.3537244,17.24
gb20,3731.633021,104.7011731,2.08
gb21,8326.873042,188.2907358,2.3
gb22,11457.59626,146.6797286,1.78
gb23,4400.059915,104.2213998,9.52
gb24,4205.708684,127.4017287,16.42
gb25,5858.904253,175.9087483,24.34
gb26,5951.750254,185.5048583,23.04
gb27,8307.822652,187.6369588,7.31
gb28,8717.6191,149.0031925,2.3
gb29,7215.947892,159.8018419,1.78
gb30,8685.379982,178.8639455,1.97
gb31,5812.158704,134.9960933,16.19
gb32,6621.772624,156.1708103,19.54
